"cid","name","star","rating","rating_title","number_of_ratings","price","url","lat","lon"
18,"Eden Rose Grand Hotel BW Premier Collection","4 étoiles","8.7","Superbe","23 expériences vécues","€ 203,40","https://www.booking.com/hotel/fr/eden-rose-grand-bw-premier-collection.fr.html?sid=fec1d4bc76bc754760add9998169d809","43.15287200","6.34265400"
18,"Superbe Duplex 35m2 vue mer avec piscine","","8.4","Très bien","40 expériences vécues","€ 60,75","https://www.booking.com/hotel/fr/voir-les-photos-presentationemplacementcommentairesl-39-hote-2-pieces-35m2-borme.fr.html?sid=fec1d4bc76bc754760add9998169d809","43.14312170","6.35213980"
18,"HomeStay Bormes","","9.7","Exceptionnel","129 expériences vécues","€ 94,60","https://www.booking.com/hotel/fr/homestay-bormes-bormes-les-mimosas.fr.html?sid=fec1d4bc76bc754760add9998169d809","43.14644500","6.32772400"
18,"Studio centre historique de Bormes les Mimosas","","8.9","Superbe","54 expériences vécues","€ 63,30","https://www.booking.com/hotel/fr/studio-centre-historique-de-bormes-les-mimosas.fr.html?sid=fec1d4bc76bc754760add9998169d809","43.15036057","6.34262603"
19,"Best Western Plus Hôtel la Rade","3 étoiles","8","Très bien","954 expériences vécues","€ 84,30","https://www.booking.com/hotel/fr/la-rade-cassis.fr.html?sid=62fc8baacb9423aed24606ded67bfdc8","43.21522997","5.53369693"
19,"The Originals Boutique, Hôtel Cassitel, Cassis","2 étoiles","7.9","Bien","1 477 expériences vécues","€ 80,90","https://www.booking.com/hotel/fr/interhotel-cassitel.fr.html?sid=62fc8baacb9423aed24606ded67bfdc8","43.21370621","5.53895809"
19,"Royal Cottage","3 étoiles","8.2","Très bien","727 expériences vécues","€ 92,30","https://www.booking.com/hotel/fr/royal-cottage.fr.html?sid=62fc8baacb9423aed24606ded67bfdc8","43.21622493","5.54290026"
19,"Hotel Le Golfe","2 étoiles","7.6","Bien","1 100 expériences vécues","","https://www.booking.com/hotel/fr/le-golfe-cassis.fr.html?sid=62fc8baacb9423aed24606ded67bfdc8","43.21443438","5.53529486"
19,"Hotel de La Plage - Mahogany","3 étoiles","7.6","Bien","745 expériences vécues","","https://www.booking.com/hotel/fr/de-la-plage-cassis.fr.html?sid=62fc8baacb9423aed24606ded67bfdc8","43.21334946","5.53126283"
19,"Le Clos Des Arômes","","8.4","Très bien","644 expériences vécues","€ 59,95","https://www.booking.com/hotel/fr/le-clos-des-aromes.fr.html?sid=62fc8baacb9423aed24606ded67bfdc8","43.21627942","5.53816553"
19,"Les Jardins de Cassis","3 étoiles","8","Très bien","1 243 expériences vécues","","https://www.booking.com/hotel/fr/les-jardins-de-cassis.fr.html?sid=62fc8baacb9423aed24606ded67bfdc8","43.22184049","5.54338490"
19,"Le Cassiden","2 étoiles","7.8","Bien","474 expériences vécues","","https://www.booking.com/hotel/fr/le-provencal-cassis.fr.html?sid=62fc8baacb9423aed24606ded67bfdc8","43.21426920","5.53850010"
19,"Hôtel Les Roches Blanches Cassis","5 étoiles","8.8","Superbe","122 expériences vécues","","https://www.booking.com/hotel/fr/des-roches-blanches.fr.html?sid=62fc8baacb9423aed24606ded67bfdc8","43.21133700","5.52950200"
19,"HôTEL LES VOLETS ROUGES - CASSIS","","8.4","Très bien","726 expériences vécues","€ 79,06","https://www.booking.com/hotel/fr/du-joli-bois-cassis.fr.html?sid=62fc8baacb9423aed24606ded67bfdc8","43.23482930","5.51191052"
20,"Best Western Plus Hôtel la Rade","3 étoiles","8","Très bien","954 expériences vécues","€ 84,30","https://www.booking.com/hotel/fr/la-rade-cassis.fr.html?sid=0987c23fbff478cb3f087c67af776eeb","43.21522997","5.53369693"
20,"The Originals Boutique, Hôtel Cassitel, Cassis","2 étoiles","7.9","Bien","1 477 expériences vécues","€ 80,90","https://www.booking.com/hotel/fr/interhotel-cassitel.fr.html?sid=0987c23fbff478cb3f087c67af776eeb","43.21370621","5.53895809"
20,"Royal Cottage","3 étoiles","8.2","Très bien","727 expériences vécues","€ 92,30","https://www.booking.com/hotel/fr/royal-cottage.fr.html?sid=0987c23fbff478cb3f087c67af776eeb","43.21622493","5.54290026"
20,"Hotel Le Golfe","2 étoiles","7.6","Bien","1 100 expériences vécues","","https://www.booking.com/hotel/fr/le-golfe-cassis.fr.html?sid=0987c23fbff478cb3f087c67af776eeb","43.21443438","5.53529486"
20,"Hotel de La Plage - Mahogany","3 étoiles","7.6","Bien","745 expériences vécues","","https://www.booking.com/hotel/fr/de-la-plage-cassis.fr.html?sid=0987c23fbff478cb3f087c67af776eeb","43.21334946","5.53126283"
20,"Le Clos Des Arômes","","8.4","Très bien","644 expériences vécues","€ 59,95","https://www.booking.com/hotel/fr/le-clos-des-aromes.fr.html?sid=0987c23fbff478cb3f087c67af776eeb","43.21627942","5.53816553"
20,"Les Jardins de Cassis","3 étoiles","8","Très bien","1 243 expériences vécues","","https://www.booking.com/hotel/fr/les-jardins-de-cassis.fr.html?sid=0987c23fbff478cb3f087c67af776eeb","43.22184049","5.54338490"
20,"Le Cassiden","2 étoiles","7.8","Bien","474 expériences vécues","","https://www.booking.com/hotel/fr/le-provencal-cassis.fr.html?sid=0987c23fbff478cb3f087c67af776eeb","43.21426920","5.53850010"
20,"Hôtel Les Roches Blanches Cassis","5 étoiles","8.8","Superbe","122 expériences vécues","","https://www.booking.com/hotel/fr/des-roches-blanches.fr.html?sid=0987c23fbff478cb3f087c67af776eeb","43.21133700","5.52950200"
20,"HôTEL LES VOLETS ROUGES - CASSIS","","8.4","Très bien","726 expériences vécues","€ 79,06","https://www.booking.com/hotel/fr/du-joli-bois-cassis.fr.html?sid=0987c23fbff478cb3f087c67af776eeb","43.23482930","5.51191052"
21,"Campanile Aix-en-Provence Sud - Pont de l'Arc","3 étoiles","7.4","Bien","2 594 expériences vécues","€ 60,65","https://www.booking.com/hotel/fr/campanile-aix-en-provence-sud.fr.html?sid=8cdef070beab3c17119758235e8630d8","43.51191632","5.43665394"
21,"ibis budget Aix en Provence","2 étoiles","7.8","Bien","2 260 expériences vécues","€ 49,95","https://www.booking.com/hotel/fr/etap-aix-en-provence-les-milles.fr.html?sid=8cdef070beab3c17119758235e8630d8","43.49453015","5.36888123"
